famille
0,HUILES
1,FROMAGES
2,CREMERIE
3,LAIT
4,BEURRE ET MARGARINE
5,CHARCUTERIE
6,OEUFS ET DERIVES
7,SAUCES ET CONDIMENTS
8,FONDS ET SAUCES DESHYDRATES
9,OLIVES
10,CONSERVES LEGUMES ET PLATS PREPARES
11,CONSERVES DE FRUITS
12,FRUITS SECS
13,CONFITURE - MIEL
14,PRODUITS DE  PATISSERIE
15,PRODUITS DE LA MER
16,PATES ET AUTRES FECULENTS
17,FARINE
18,SUCRE
19,CONFISERIE
20,LEVURES
21,VIANDE
22,BISCOTTES ET DERIVES BISCUITS
23,EPICES ET AROMATES
24,CAFE THE CHOCOLAT
25,BOISSONS DIVERSES
26,ALCOOLS CHAMPAGNE MOUSSEUX VINS
27,PRODUITS HYGIENE ET ENTRETIEN
28,JETABLE
29,SURGELES
