,article_id,libelle,prix,cond,famille
0,1010,HUILE ARACHIDE 25 L,60.71,BIDON,HUILES
1,1011,HUILE ARACHIDE 5 L,14.33,BIDON,HUILES
2,1012,HUILE ARACHIDE 1 L,2.87,BOUTE,HUILES
3,1014,HUILE MEZZO 1 L (50%OLIVE50%TOURNESOL),2.67,BOUTE,HUILES
4,1015,HUILE COLZA 5 L,7.57,BIDON,HUILES
5,1016,HUILE COLZA 1 L,1.71,BOUTE,HUILES
6,1020,HUILE TOURNESOL 25 L,37.14,BIDON,HUILES
7,1021,HUILE TOURNESOL 5 L,8.0,BIDON,HUILES
8,1022,HUILE TOURNESOL 1 L,1.6,BOUTE,HUILES
9,1031,HUILE OLIVE 5 L,24.0,BIDON,HUILES
10,1032,HUILE OLIVE 1 L,4.83,BOUTE,HUILES
11,1033,HUILE OLIVE VIERGE EXTRA BENOIT BV 1L,6.8,BOUTE,HUILES
12,1034,HUILE OLIVE EXTRA VIERGE 250ML ITALIANO,3.98,FLACO,HUILES
13,1035,HUILE OLIVE SPRAY 25CL - CODEFA,4.45,SPRAY,HUILES
14,1036,HUILE OLIVE VIERGE EXTRA JEAN ROMEO 75CL,4.43,BOUTE,HUILES
15,1039,HUILE PIMENTEE 50CL - LESIEUR,6.43,BOUTE,HUILES
16,1040,HUILE FRITURE CUISSON 25 L,45.77,BIDON,HUILES
17,1041,HUILE FRITURE CUISSON 5 L,9.15,BIDON,HUILES
18,1042,HUILE OLIVE 25 CL VERRE,5.7,BOUTE,HUILES
19,1047,HUILE OLIVE BV 50CL,4.45,BOUTE,HUILES
20,1054,HUILE OLIVE TRUFFE 250ML,12.15,BOUTE,HUILES
21,1055,HUILE TRUFFE BLANCHE 250 ML EMPORIO,12.0,BOUTE,HUILES
22,1070,HUILE PEPIN DE RAISIN 5L,17.97,BIDON,HUILES
23,1072,HUILE PEPIN DE RAISIN 1L,3.91,BOUTE,HUILES
24,1080,BOMBE A GRAISSE 600 ML,4.93,SPRAY,HUILES
25,1110,HUILE RISSO ELITE BIDON 10 L,28.45,BIDON,HUILES
26,1130,HUILE D'OLIVE AU PIMENT 25CL VR-CODEFA,2.99,BOUTE,HUILES
27,1230,HUILE PIMENTEE X 200,7.89,CARTO,HUILES
28,1232,HUILE PIMENTEE GYMA X 1000,27.15,CARTO,HUILES
29,1300,HUILE DE NOIX 25 CL,5.37,BOUTE,HUILES
30,1305,HUILE DE NOISETTE 25 CL,5.06,BOUTE,HUILES
31,1400,HUILE DE SESAME 600 ML,10.92,BOUTE,HUILES
32,2015,CANTAL RAPE TRADILAIT 2KG,6.94,KG,FROMAGES
33,2020,CANTAL RAPE TRAD-SAC 2.5 KG,19.55,SAC,FROMAGES
34,2025,CANTABRIK RAPE KAASBRIK - SAC 2KG,11.29,SAC,FROMAGES
35,2030,CANTAMIL SAC 2 KG,14.71,SAC,FROMAGES
36,2031,FROMAGE IL FILANTE SAC 2KG,13.24,SAC,FROMAGES
37,2050,ASIAGO 1/4 DE MEULE-LE KG,11.43,KG,FROMAGES
38,2055,CANTAL JEUNE MEULE -  LE KG,8.51,KG,FROMAGES
39,2100,EMMENTAL BLOC ENV. 3 KG - LE KG,6.75,KG,FROMAGES
40,2101,EMMENTAL BLOC ENV 1.5 KG - LE KG,7.62,KG,FROMAGES
41,2105,EMMENTAL LS ENV 250G - LE KG,9.39,KG,FROMAGES
